"Academic.Reputation.Score","Citations.per.Faculty.Score","Employer.Reputation.Score","Employment.Outcomes.Score","Faculty.Student.Score","International.Faculty.Score","International.Research.Network.Score","International.Students.Score","Sustainability.Score"
"1",100,100,100,100,100,100,94.3,88.2,95.2
"2",100,92.3,100,100,100,100,99.9,95.8,97.3
"3",100,90.6,100,100,100,98.2,100,98.2,97.8
"4",100,100,100,100,98.3,84.6,100,66.8,96.7
"5",100,99.9,100,100,100,99.9,95.8,51.2,94.4
"6",98.3,94,99.4,83,98.5,100,96.7,100,94.4
"7",98.8,98.9,83.6,79.1,72.1,100,96,98.5,88.4
"8",99.4,93.2,88.6,100,76.5,100,76.3,81.9,88.1
"9",99.5,74.3,97.9,51.6,98.4,99.1,100,100,92.5
"10",100,99.9,100,98.7,20.5,92.2,92.4,63.9,100
"11",99.1,78.5,95.4,98.3,92.5,81.2,61.4,84.4,81.7
"12",96.4,68.4,89.1,100,99.9,96,83.3,70.3,99.9
"13",98.1,99.1,90.5,98,52.9,68.7,79.9,64,94.7
"14",98.4,92.1,92.3,93.3,15.4,92.9,97.2,99.7,90.4
"15",96.1,100,93.7,34.2,100,100,22.8,81,41.4
"16",99.9,45.8,99.9,99.9,100,89.8,85.8,78.8,99.2
"17",99.4,97.5,95.4,82.6,90.4,50.8,43.2,23.5,68.8
"18",99.8,100,97.5,94.6,64.5,16.7,52.5,57.5,79.3
"19",89.7,95.9,88.1,95.5,18.2,100,99,99.1,99.6
"20",96,93.5,87.7,88.1,11.8,99.5,91.9,100,99.7
"21",99.7,57.2,96,96.4,54.2,95.7,95.5,96.4,99.9
"22",98.1,58.7,96.9,48.1,72.4,98.8,99.6,99.9,99.7
"23",99.6,40.7,98.3,99.9,100,56.1,97.6,96.8,94.2
"24",73.7,95.7,97,60.8,99.3,69.2,100,72.7,80.4
"25",99.1,98.9,96.9,82.2,93.9,9.4,47.8,15.7,55.8
"26",91,94.4,67.1,68.4,77.6,100,66.1,80.2,78.2
"27",97.6,82.3,51.4,99.5,82.9,100,42.7,99,97.3
"28",87.3,89.4,59.7,74.5,100,64.4,98.1,91.4,84.6
"29",100,70,99.8,99.8,90.4,10.3,70,29.2,99.7
"30",100,84.8,99.8,97,36.6,43.4,89.8,24.8,91.2
"31",93.7,62.1,87.6,92.5,64,88.9,86.2,93.3,94.2
"32",95.4,49.1,98,71.9,53.8,93.5,99.7,99.4,92.3
"33",98.3,56.2,89.9,94.3,82.2,67,95.4,27.6,83.7
"34",93.2,92.8,70.2,43.9,34.9,100,78.5,93.3,87.4
"35",98.2,57,93.5,60.1,44.4,96.4,96.3,74.1,99.9
"36",84.6,98,59.9,19.4,92.4,100,65.6,100,42.3
"37",83.9,59.6,98.2,25,88.8,76.5,86.7,97.3,84.8
"38",44.8,93.8,99.6,90.3,97.3,98.5,76.9,98.3,72.5
"39",95.9,26.7,98.5,99.7,95.5,26.4,85.4,95,98.3
